type,symbol,name
US_STOCK,CVX,Chevron Corporation
US_STOCK,^GSPC,S&P 500 Index
US_STOCK,^DJI,Dow Jones Industrial Average
US_STOCK,^IXIC,NASDAQ Composite Index
CRYPTO,BTC-USD,Bitcoin
CRYPTO,ETH-USD,Ethereum
CRYPTO,USDT-USD,Tether
CRYPTO,BNB-USD,Binance Coin
CRYPTO,USDC-USD,USD Coin
CRYPTO,XRP-USD,Ripple
CRYPTO,ADA-USD,Cardano
CRYPTO,DOGE-USD,Dogecoin
CRYPTO,SOL-USD,Solana
CRYPTO,TRX-USD,TRON
CRYPTO,DOT-USD,Polkadot
CRYPTO,MATIC-USD,Polygon
CRYPTO,LTC-USD,Litecoin
CRYPTO,SHIB-USD,Shiba Inu
CRYPTO,AVAX-USD,Avalanche
CRYPTO,DAI-USD,Dai
CRYPTO,WBTC-USD,Wrapped Bitcoin
CRYPTO,UNI-USD,Uniswap
CRYPTO,LINK-USD,Chainlink
CRYPTO,ATOM-USD,Cosmos
CRYPTO,XLM-USD,Stellar
CRYPTO,XMR-USD,Monero
CRYPTO,BCH-USD,Bitcoin Cash
CRYPTO,ETC-USD,Ethereum Classic
CRYPTO,ALGO-USD,Algorand
CRYPTO,VET-USD,VeChain
CRYPTO,FIL-USD,Filecoin
CRYPTO,ICP-USD,Internet Computer
CRYPTO,APT-USD,Aptos
CRYPTO,HBAR-USD,Hedera
CRYPTO,NEAR-USD,NEAR Protocol
CRYPTO,ARB-USD,Arbitrum
CRYPTO,OP-USD,Optimism
CRYPTO,MKR-USD,Maker
CRYPTO,AAVE-USD,Aave
CRYPTO,GRT-USD,The Graph
CRYPTO,SNX-USD,Synthetix
CRYPTO,CRV-USD,Curve DAO Token
CRYPTO,SAND-USD,The Sandbox
CRYPTO,MANA-USD,Decentraland
FOREX,EUR=X,USD to EUR
FOREX,GBP=X,USD to GBP
FOREX,INR=X,USD to INR
FOREX,JPY=X,USD to JPY
FOREX,AUD=X,USD to AUD
FOREX,CAD=X,USD to CAD
FOREX,CHF=X,USD to CHF
FOREX,NZD=X,USD to NZD
FOREX,SGD=X,USD to SGD
FOREX,HKD=X,USD to HKD
FOREX,CNY=X,USD to CNY
FOREX,MXN=X,USD to MXN
FOREX,BRL=X,USD to BRL
FOREX,EURUSD=X,EUR to USD
FOREX,GBPUSD=X,GBP to USD
FOREX,INRUSD=X,INR to USD
FOREX,JPYUSD=X,JPY to USD
FOREX,AUDUSD=X,AUD to USD
FOREX,CADUSD=X,CAD to USD
FOREX,CHFUSD=X,CHF to USD
FOREX,NZDUSD=X,NZD to USD
FOREX,SGDUSD=X,SGD to USD
FOREX,HKDUSD=X,HKD to USD
FOREX,CNYUSD=X,CNY to USD
FOREX,MXNUSD=X,MXN to USD
FOREX,BRLUSD=X,BRL to USD
,EURGBP=X,EUR to GBP
,EURJPY=X,EUR to JPY
,GBPJPY=X,GBP to JPY
,AUDJPY=X,AUD to JPY
,EURAUD=X,EUR to AUD
