type,symbol,name
FOREX,JPY/GBP,JPY to GBP
FOREX,JPY/INR,JPY to INR
FOREX,JPY/AUD,JPY to AUD
FOREX,JPY/CAD,JPY to CAD
FOREX,JPY/CHF,JPY to CHF
FOREX,JPY/NZD,JPY to NZD
FOREX,JPY/SGD,JPY to SGD
FOREX,JPY/HKD,JPY to HKD
FOREX,AUD/USD,AUD to USD
FOREX,AUD/EUR,AUD to EUR
FOREX,AUD/GBP,AUD to GBP
FOREX,AUD/INR,AUD to INR
FOREX,AUD/JPY,AUD to JPY
FOREX,AUD/CAD,AUD to CAD
FOREX,AUD/CHF,AUD to CHF
FOREX,AUD/NZD,AUD to NZD
FOREX,AUD/SGD,AUD to SGD
FOREX,AUD/HKD,AUD to HKD
FOREX,CAD/USD,CAD to USD
FOREX,CAD/EUR,CAD to EUR
FOREX,CAD/GBP,CAD to GBP
FOREX,CAD/INR,CAD to INR
FOREX,CAD/JPY,CAD to JPY
FOREX,CAD/AUD,CAD to AUD
FOREX,CAD/CHF,CAD to CHF
FOREX,CAD/NZD,CAD to NZD
FOREX,CAD/SGD,CAD to SGD
FOREX,CAD/HKD,CAD to HKD
FOREX,CHF/USD,CHF to USD
FOREX,CHF/EUR,CHF to EUR
FOREX,CHF/GBP,CHF to GBP
FOREX,CHF/INR,CHF to INR
FOREX,CHF/JPY,CHF to JPY
FOREX,CHF/AUD,CHF to AUD
FOREX,CHF/CAD,CHF to CAD
FOREX,CHF/NZD,CHF to NZD
FOREX,CHF/SGD,CHF to SGD
FOREX,CHF/HKD,CHF to HKD
FOREX,NZD/USD,NZD to USD
FOREX,NZD/EUR,NZD to EUR
FOREX,NZD/GBP,NZD to GBP
FOREX,NZD/INR,NZD to INR
FOREX,NZD/JPY,NZD to JPY
FOREX,NZD/AUD,NZD to AUD
FOREX,NZD/CAD,NZD to CAD
FOREX,NZD/CHF,NZD to CHF
FOREX,NZD/SGD,NZD to SGD
FOREX,NZD/HKD,NZD to HKD
FOREX,SGD/USD,SGD to USD
FOREX,SGD/EUR,SGD to EUR
FOREX,SGD/GBP,SGD to GBP
FOREX,SGD/INR,SGD to INR
FOREX,SGD/JPY,SGD to JPY
FOREX,SGD/AUD,SGD to AUD
FOREX,SGD/CAD,SGD to CAD
FOREX,SGD/CHF,SGD to CHF
FOREX,SGD/NZD,SGD to NZD
FOREX,SGD/HKD,SGD to HKD
FOREX,HKD/USD,HKD to USD
FOREX,HKD/EUR,HKD to EUR
FOREX,HKD/GBP,HKD to GBP
FOREX,HKD/INR,HKD to INR
FOREX,HKD/JPY,HKD to JPY
FOREX,HKD/AUD,HKD to AUD
FOREX,HKD/CAD,HKD to CAD
FOREX,HKD/CHF,HKD to CHF
FOREX,HKD/NZD,HKD to NZD
FOREX,HKD/SGD,HKD to SGD
